idx,onnx,vnnlib,csv_timeout,used_timeout,wall_sec,verdict,exit_code,result_file,log_file
33,"onnx/NN_rul_full_window_20.onnx","vnnlib/robustness_8perturbations_delta20_epsilon10_w20.vnnlib",300,300,3.51,unsat,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/collins_rul_cnn_2022/0033__NN_rul_full_window_20__robustness_8perturbations_delta20_epsilon10_w20.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/collins_rul_cnn_2022/0033__NN_rul_full_window_20__robustness_8perturbations_delta20_epsilon10_w20.log"
34,"onnx/NN_rul_full_window_20.onnx","vnnlib/robustness_8perturbations_delta40_epsilon10_w20.vnnlib",300,300,3.48,unsat,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/collins_rul_cnn_2022/0034__NN_rul_full_window_20__robustness_8perturbations_delta40_epsilon10_w20.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/collins_rul_cnn_2022/0034__NN_rul_full_window_20__robustness_8perturbations_delta40_epsilon10_w20.log"
35,"onnx/NN_rul_full_window_20.onnx","vnnlib/robustness_16perturbations_delta5_epsilon10_w20.vnnlib",300,300,3.54,unsat,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/collins_rul_cnn_2022/0035__NN_rul_full_window_20__robustness_16perturbations_delta5_epsilon10_w20.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/collins_rul_cnn_2022/0035__NN_rul_full_window_20__robustness_16perturbations_delta5_epsilon10_w20.log"
36,"onnx/NN_rul_full_window_20.onnx","vnnlib/robustness_16perturbations_delta10_epsilon10_w20.vnnlib",300,300,305.11,timeout,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/collins_rul_cnn_2022/0036__NN_rul_full_window_20__robustness_16perturbations_delta10_epsilon10_w20.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/collins_rul_cnn_2022/0036__NN_rul_full_window_20__robustness_16perturbations_delta10_epsilon10_w20.log"
37,"onnx/NN_rul_full_window_20.onnx","vnnlib/robustness_16perturbations_delta20_epsilon10_w20.vnnlib",300,300,3.47,unsat,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/collins_rul_cnn_2022/0037__NN_rul_full_window_20__robustness_16perturbations_delta20_epsilon10_w20.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/collins_rul_cnn_2022/0037__NN_rul_full_window_20__robustness_16perturbations_delta20_epsilon10_w20.log"
38,"onnx/NN_rul_full_window_20.onnx","vnnlib/robustness_16perturbations_delta40_epsilon10_w20.vnnlib",300,300,305.00,timeout,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/collins_rul_cnn_2022/0038__NN_rul_full_window_20__robustness_16perturbations_delta40_epsilon10_w20.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/collins_rul_cnn_2022/0038__NN_rul_full_window_20__robustness_16perturbations_delta40_epsilon10_w20.log"
39,"onnx/NN_rul_full_window_20.onnx","vnnlib/monotonicity_CI_shift5_w20.vnnlib",60,60,3.55,unsat,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/collins_rul_cnn_2022/0039__NN_rul_full_window_20__monotonicity_CI_shift5_w20.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/collins_rul_cnn_2022/0039__NN_rul_full_window_20__monotonicity_CI_shift5_w20.log"
40,"onnx/NN_rul_full_window_20.onnx","vnnlib/monotonicity_CI_shift10_w20.vnnlib",180,180,3.51,unsat,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/collins_rul_cnn_2022/0040__NN_rul_full_window_20__monotonicity_CI_shift10_w20.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/collins_rul_cnn_2022/0040__NN_rul_full_window_20__monotonicity_CI_shift10_w20.log"
41,"onnx/NN_rul_full_window_20.onnx","vnnlib/monotonicity_CI_shift20_w20.vnnlib",360,360,3.49,unsat,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/collins_rul_cnn_2022/0041__NN_rul_full_window_20__monotonicity_CI_shift20_w20.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/collins_rul_cnn_2022/0041__NN_rul_full_window_20__monotonicity_CI_shift20_w20.log"
42,"onnx/NN_rul_full_window_20.onnx","vnnlib/if_then_7levels_w20.vnnlib",1800,1800,1803.47,timeout,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/collins_rul_cnn_2022/0042__NN_rul_full_window_20__if_then_7levels_w20.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/collins_rul_cnn_2022/0042__NN_rul_full_window_20__if_then_7levels_w20.log"
