idx,onnx,vnnlib,csv_timeout,used_timeout,wall_sec,verdict,exit_code,result_file,log_file
34,"./onnx/14_ieee_ml4acopf-linear-nonresidual.onnx","./vnnlib/14_ieee_prop3.vnnlib",600,600,3.44,unsat,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/ml4acopf_2024/0034__14_ieee_ml4acopf-linear-nonresidual__14_ieee_prop3.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/ml4acopf_2024/0034__14_ieee_ml4acopf-linear-nonresidual__14_ieee_prop3.log"
35,"./onnx/14_ieee_ml4acopf-linear-nonresidual.onnx","./vnnlib/14_ieee_prop14.vnnlib",600,600,3.33,unsat,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/ml4acopf_2024/0035__14_ieee_ml4acopf-linear-nonresidual__14_ieee_prop14.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/ml4acopf_2024/0035__14_ieee_ml4acopf-linear-nonresidual__14_ieee_prop14.log"
36,"./onnx/14_ieee_ml4acopf-linear-nonresidual.onnx","./vnnlib/14_ieee_prop10.vnnlib",600,600,3.33,unsat,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/ml4acopf_2024/0036__14_ieee_ml4acopf-linear-nonresidual__14_ieee_prop10.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/ml4acopf_2024/0036__14_ieee_ml4acopf-linear-nonresidual__14_ieee_prop10.log"
37,"./onnx/14_ieee_ml4acopf-linear-nonresidual.onnx","./vnnlib/14_ieee_prop5.vnnlib",600,600,3.34,unsat,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/ml4acopf_2024/0037__14_ieee_ml4acopf-linear-nonresidual__14_ieee_prop5.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/ml4acopf_2024/0037__14_ieee_ml4acopf-linear-nonresidual__14_ieee_prop5.log"
38,"./onnx/118_ieee_ml4acopf-linear-nonresidual.onnx","./vnnlib/118_ieee_prop2.vnnlib",600,600,19.59,missing_result,2,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/ml4acopf_2024/0038__118_ieee_ml4acopf-linear-nonresidual__118_ieee_prop2.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/ml4acopf_2024/0038__118_ieee_ml4acopf-linear-nonresidual__118_ieee_prop2.log"
39,"./onnx/118_ieee_ml4acopf-linear-nonresidual.onnx","./vnnlib/118_ieee_prop4.vnnlib",600,600,17.00,missing_result,2,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/ml4acopf_2024/0039__118_ieee_ml4acopf-linear-nonresidual__118_ieee_prop4.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/ml4acopf_2024/0039__118_ieee_ml4acopf-linear-nonresidual__118_ieee_prop4.log"
40,"./onnx/118_ieee_ml4acopf-linear-nonresidual.onnx","./vnnlib/118_ieee_prop3.vnnlib",600,600,8.93,missing_result,2,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/ml4acopf_2024/0040__118_ieee_ml4acopf-linear-nonresidual__118_ieee_prop3.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/ml4acopf_2024/0040__118_ieee_ml4acopf-linear-nonresidual__118_ieee_prop3.log"
41,"./onnx/118_ieee_ml4acopf-linear-nonresidual.onnx","./vnnlib/118_ieee_prop5.vnnlib",600,600,14.49,missing_result,2,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/ml4acopf_2024/0041__118_ieee_ml4acopf-linear-nonresidual__118_ieee_prop5.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/ml4acopf_2024/0041__118_ieee_ml4acopf-linear-nonresidual__118_ieee_prop5.log"
42,"./onnx/118_ieee_ml4acopf-linear-nonresidual.onnx","./vnnlib/118_ieee_prop6.vnnlib",600,600,3.36,unsat,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/ml4acopf_2024/0042__118_ieee_ml4acopf-linear-nonresidual__118_ieee_prop6.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/ml4acopf_2024/0042__118_ieee_ml4acopf-linear-nonresidual__118_ieee_prop6.log"
43,"./onnx/14_ieee_ml4acopf.onnx","./vnnlib/14_ieee_prop9.vnnlib",600,600,4.09,unsat,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/ml4acopf_2024/0043__14_ieee_ml4acopf__14_ieee_prop9.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/ml4acopf_2024/0043__14_ieee_ml4acopf__14_ieee_prop9.log"
