model_id,sample_rank,dataset_index,boundary_status,boundary_reason,route_upper,verification_epsilon,exact_feasible_pair_count,fixed_route_unstable_rows,fixed_zonotope_reduction_rows,fixed_ibp_reduction_rows,boundary_guard_binaries_eliminated,f0_invoked,decision_tier,unique_safe,full_model_witness_valid,candidate_seconds,gate_seconds,f0_time_kind,f0_seconds,f0_seconds_lower_bound,total_seconds
seed2,18,1037,SAFE,SAFE_WEIGHTED_RANGE,0.006372549019607843,0.006691176470588235,2,1,1,1,18,True,TIER2_F0,True,False,0.2620641738176346,11.990349794737995,OBSERVED,51.62796671781689,,67.42198878154159
seed2,19,1038,UNKNOWN,UNKNOWN_WEIGHTED_SOLVER_LIMIT,0.00743719362745098,0.007809053308823529,2,1,1,1,20,True,TIER2_F0,False,False,0.8605378204956651,76.51585981063545,OBSERVED,103.99067395925522,,190.81530012283474
seed2,20,1044,UNKNOWN,NO_ROUTE_BOUNDARY_WITHIN_SEARCH,,,,0,0,0,,False,BOUNDARY_NOT_APPLICABLE_WITHIN_CAP,False,False,,,NOT_INVOKED,,,2.744800408370793
seed2,21,1046,UNSAFE,UNSAFE_FULL_FORWARD_FALLBACK,0.003059895833333333,0.0032128906249999996,3,2,0,2,13,True,TIER2_F0,False,True,0.27642333693802357,48.41971196979284,OBSERVED,3.1770340465009212,,55.14502060506493
seed2,22,1048,TIMEOUT,TIMEOUT_EXPERT_SOLVE,0.01364889705882353,0.014331341911764706,2,0,0,0,53,False,TIER1_OR_PRE_F0,False,False,0.2514077387750149,134.71238821931183,NOT_INVOKED,,,138.65031907428056
seed2,23,1054,SAFE,SAFE_WEIGHTED_RANGE,0.0037951899509803917,0.003984949448529411,2,2,2,2,2,True,TIER2_F0,True,False,0.40748349111527205,9.24366779346019,OBSERVED,14.39455711003393,,33.12831179331988
seed2,24,1057,UNSAFE,UNSAFE_FULL_FORWARD,0.014613970588235294,0.015344669117647059,2,0,0,0,60,False,TIER1_OR_PRE_F0,False,True,0.32406164053827524,140.2595663703978,NOT_INVOKED,,,144.0467688869685
seed2,25,1060,UNKNOWN,UNKNOWN_WEIGHTED_SOLVER_LIMIT,0.0050398284313725485,0.005291819852941176,2,1,1,1,17,True,TIER2_F0,False,False,0.2598596476018429,23.127725788392127,OBSERVED,108.75481792446226,,135.89653984550387
seed2,26,1061,UNKNOWN,NO_ROUTE_BOUNDARY_WITHIN_SEARCH,,,,0,0,0,,False,BOUNDARY_NOT_APPLICABLE_WITHIN_CAP,False,False,,,NOT_INVOKED,,,5.56973928026855
seed2,27,1067,SAFE,SAFE_WEIGHTED_RANGE,0.0013116574754901962,0.001377240349264706,2,3,1,2,4,True,TIER2_F0,True,False,0.2656225021928549,2.599191782064736,OBSERVED,3.6230176091194153,,11.667578339576721
seed2,28,1070,UNKNOWN,UNKNOWN_WEIGHTED_SOLVER_LIMIT,0.00902267156862745,0.009473805147058824,2,0,0,0,41,True,TIER2_F0,False,False,0.24914389848709106,128.47715245001018,OBSERVED,135.02346280403435,,267.46877464465797
seed2,29,1073,UNKNOWN,UNKNOWN_WEIGHTED_SOLVER_LIMIT,0.014200367647058822,0.014910386029411764,3,0,0,0,51,True,TIER2_F0,False,False,0.24364670738577843,118.89942836202681,OBSERVED,149.4997939011082,,272.008382121101
seed2,30,1075,UNKNOWN,NO_ROUTE_BOUNDARY_WITHIN_SEARCH,,,,0,0,0,,False,BOUNDARY_NOT_APPLICABLE_WITHIN_CAP,False,False,,,NOT_INVOKED,,,3.0450764279812574
seed2,31,1076,UNKNOWN,NO_ROUTE_BOUNDARY_WITHIN_SEARCH,,,,0,0,0,,False,BOUNDARY_NOT_APPLICABLE_WITHIN_CAP,False,False,,,NOT_INVOKED,,,3.006835966371
seed2,32,1077,UNKNOWN,NO_ROUTE_BOUNDARY_WITHIN_SEARCH,,,,0,0,0,,False,BOUNDARY_NOT_APPLICABLE_WITHIN_CAP,False,False,,,NOT_INVOKED,,,3.0399310272186995
seed2,33,1078,UNKNOWN,NO_ROUTE_BOUNDARY_WITHIN_SEARCH,,,,0,0,0,,False,BOUNDARY_NOT_APPLICABLE_WITHIN_CAP,False,False,,,NOT_INVOKED,,,2.9975500786677003
seed2,34,1079,UNKNOWN,NO_ROUTE_BOUNDARY_WITHIN_SEARCH,,,,0,0,0,,False,BOUNDARY_NOT_APPLICABLE_WITHIN_CAP,False,False,,,NOT_INVOKED,,,2.915123579092324
seed2,35,1081,UNKNOWN,NO_ROUTE_BOUNDARY_WITHIN_SEARCH,,,,0,0,0,,False,BOUNDARY_NOT_APPLICABLE_WITHIN_CAP,False,False,,,NOT_INVOKED,,,2.884754161350429
seed2,36,1085,UNKNOWN,UNKNOWN_WEIGHTED_SOLVER_LIMIT,0.011458333333333334,0.012031250000000002,2,0,0,0,27,True,TIER2_F0,False,False,0.4217765498906374,102.77790200058371,OBSERVED,146.4384813271463,,253.77759485226125
seed2,37,1089,TIMEOUT,INSTANCE_HARD_DEADLINE,,,,0,0,0,,True,TIER2_F0,False,False,,,RIGHT_CENSORED_AT_INSTANCE_DEADLINE,,0.0,300.33655183855444
seed2,38,1091,SAFE,SAFE_WEIGHTED_RANGE,0.010079656862745097,0.010583639705882351,2,0,0,0,12,True,TIER2_F0,True,False,0.2579099889844656,9.7738972986117,OBSERVED,46.55952490866184,,60.06939116399735
seed2,39,1092,UNSAFE,UNSAFE_FULL_FORWARD,0.01099877450980392,0.011548713235294118,2,0,0,0,32,False,TIER1_OR_PRE_F0,False,True,0.558646259829402,151.19227088149637,NOT_INVOKED,,,156.0418373104185
