idx,onnx,vnnlib,csv_timeout,used_timeout,wall_sec,verdict,result_file,log_file
37,"onnx/pgd_2_3_16.onnx","vnnlib/pgd_2_3_16_7363.vnnlib",100,100,0.61,"unknown","/data1/Kane/ACT/audit_results/cora_strict_20260526/vit_2023/0037__pgd_2_3_16__pgd_2_3_16_7363.result","/data1/Kane/ACT/audit_results/cora_strict_20260526/vit_2023/0037__pgd_2_3_16__pgd_2_3_16_7363.log"
38,"onnx/pgd_2_3_16.onnx","vnnlib/pgd_2_3_16_9825.vnnlib",100,100,0.59,"unknown","/data1/Kane/ACT/audit_results/cora_strict_20260526/vit_2023/0038__pgd_2_3_16__pgd_2_3_16_9825.result","/data1/Kane/ACT/audit_results/cora_strict_20260526/vit_2023/0038__pgd_2_3_16__pgd_2_3_16_9825.log"
39,"onnx/pgd_2_3_16.onnx","vnnlib/pgd_2_3_16_425.vnnlib",100,100,0.47,"unknown","/data1/Kane/ACT/audit_results/cora_strict_20260526/vit_2023/0039__pgd_2_3_16__pgd_2_3_16_425.result","/data1/Kane/ACT/audit_results/cora_strict_20260526/vit_2023/0039__pgd_2_3_16__pgd_2_3_16_425.log"
40,"onnx/pgd_2_3_16.onnx","vnnlib/pgd_2_3_16_722.vnnlib",100,100,0.35,"unknown","/data1/Kane/ACT/audit_results/cora_strict_20260526/vit_2023/0040__pgd_2_3_16__pgd_2_3_16_722.result","/data1/Kane/ACT/audit_results/cora_strict_20260526/vit_2023/0040__pgd_2_3_16__pgd_2_3_16_722.log"
41,"onnx/pgd_2_3_16.onnx","vnnlib/pgd_2_3_16_646.vnnlib",100,100,0.48,"unknown","/data1/Kane/ACT/audit_results/cora_strict_20260526/vit_2023/0041__pgd_2_3_16__pgd_2_3_16_646.result","/data1/Kane/ACT/audit_results/cora_strict_20260526/vit_2023/0041__pgd_2_3_16__pgd_2_3_16_646.log"
42,"onnx/pgd_2_3_16.onnx","vnnlib/pgd_2_3_16_183.vnnlib",100,100,0.55,"unknown","/data1/Kane/ACT/audit_results/cora_strict_20260526/vit_2023/0042__pgd_2_3_16__pgd_2_3_16_183.result","/data1/Kane/ACT/audit_results/cora_strict_20260526/vit_2023/0042__pgd_2_3_16__pgd_2_3_16_183.log"
43,"onnx/pgd_2_3_16.onnx","vnnlib/pgd_2_3_16_4380.vnnlib",100,100,0.43,"unknown","/data1/Kane/ACT/audit_results/cora_strict_20260526/vit_2023/0043__pgd_2_3_16__pgd_2_3_16_4380.result","/data1/Kane/ACT/audit_results/cora_strict_20260526/vit_2023/0043__pgd_2_3_16__pgd_2_3_16_4380.log"
44,"onnx/pgd_2_3_16.onnx","vnnlib/pgd_2_3_16_374.vnnlib",100,100,0.35,"unknown","/data1/Kane/ACT/audit_results/cora_strict_20260526/vit_2023/0044__pgd_2_3_16__pgd_2_3_16_374.result","/data1/Kane/ACT/audit_results/cora_strict_20260526/vit_2023/0044__pgd_2_3_16__pgd_2_3_16_374.log"
45,"onnx/pgd_2_3_16.onnx","vnnlib/pgd_2_3_16_1566.vnnlib",100,100,0.34,"unknown","/data1/Kane/ACT/audit_results/cora_strict_20260526/vit_2023/0045__pgd_2_3_16__pgd_2_3_16_1566.result","/data1/Kane/ACT/audit_results/cora_strict_20260526/vit_2023/0045__pgd_2_3_16__pgd_2_3_16_1566.log"
46,"onnx/pgd_2_3_16.onnx","vnnlib/pgd_2_3_16_7869.vnnlib",100,100,0.49,"unknown","/data1/Kane/ACT/audit_results/cora_strict_20260526/vit_2023/0046__pgd_2_3_16__pgd_2_3_16_7869.result","/data1/Kane/ACT/audit_results/cora_strict_20260526/vit_2023/0046__pgd_2_3_16__pgd_2_3_16_7869.log"
47,"onnx/pgd_2_3_16.onnx","vnnlib/pgd_2_3_16_953.vnnlib",100,100,0.52,"unknown","/data1/Kane/ACT/audit_results/cora_strict_20260526/vit_2023/0047__pgd_2_3_16__pgd_2_3_16_953.result","/data1/Kane/ACT/audit_results/cora_strict_20260526/vit_2023/0047__pgd_2_3_16__pgd_2_3_16_953.log"
48,"onnx/pgd_2_3_16.onnx","vnnlib/pgd_2_3_16_6160.vnnlib",100,100,0.52,"unknown","/data1/Kane/ACT/audit_results/cora_strict_20260526/vit_2023/0048__pgd_2_3_16__pgd_2_3_16_6160.result","/data1/Kane/ACT/audit_results/cora_strict_20260526/vit_2023/0048__pgd_2_3_16__pgd_2_3_16_6160.log"
49,"onnx/pgd_2_3_16.onnx","vnnlib/pgd_2_3_16_2218.vnnlib",100,100,0.38,"unknown","/data1/Kane/ACT/audit_results/cora_strict_20260526/vit_2023/0049__pgd_2_3_16__pgd_2_3_16_2218.result","/data1/Kane/ACT/audit_results/cora_strict_20260526/vit_2023/0049__pgd_2_3_16__pgd_2_3_16_2218.log"
50,"onnx/pgd_2_3_16.onnx","vnnlib/pgd_2_3_16_4714.vnnlib",100,100,0.33,"unknown","/data1/Kane/ACT/audit_results/cora_strict_20260526/vit_2023/0050__pgd_2_3_16__pgd_2_3_16_4714.result","/data1/Kane/ACT/audit_results/cora_strict_20260526/vit_2023/0050__pgd_2_3_16__pgd_2_3_16_4714.log"
51,"onnx/pgd_2_3_16.onnx","vnnlib/pgd_2_3_16_5704.vnnlib",100,100,0.35,"unknown","/data1/Kane/ACT/audit_results/cora_strict_20260526/vit_2023/0051__pgd_2_3_16__pgd_2_3_16_5704.result","/data1/Kane/ACT/audit_results/cora_strict_20260526/vit_2023/0051__pgd_2_3_16__pgd_2_3_16_5704.log"
52,"onnx/pgd_2_3_16.onnx","vnnlib/pgd_2_3_16_5579.vnnlib",100,100,0.33,"unknown","/data1/Kane/ACT/audit_results/cora_strict_20260526/vit_2023/0052__pgd_2_3_16__pgd_2_3_16_5579.result","/data1/Kane/ACT/audit_results/cora_strict_20260526/vit_2023/0052__pgd_2_3_16__pgd_2_3_16_5579.log"
53,"onnx/pgd_2_3_16.onnx","vnnlib/pgd_2_3_16_6805.vnnlib",100,100,0.49,"unknown","/data1/Kane/ACT/audit_results/cora_strict_20260526/vit_2023/0053__pgd_2_3_16__pgd_2_3_16_6805.result","/data1/Kane/ACT/audit_results/cora_strict_20260526/vit_2023/0053__pgd_2_3_16__pgd_2_3_16_6805.log"
54,"onnx/pgd_2_3_16.onnx","vnnlib/pgd_2_3_16_8836.vnnlib",100,100,0.49,"unknown","/data1/Kane/ACT/audit_results/cora_strict_20260526/vit_2023/0054__pgd_2_3_16__pgd_2_3_16_8836.result","/data1/Kane/ACT/audit_results/cora_strict_20260526/vit_2023/0054__pgd_2_3_16__pgd_2_3_16_8836.log"
55,"onnx/pgd_2_3_16.onnx","vnnlib/pgd_2_3_16_5030.vnnlib",100,100,0.49,"unknown","/data1/Kane/ACT/audit_results/cora_strict_20260526/vit_2023/0055__pgd_2_3_16__pgd_2_3_16_5030.result","/data1/Kane/ACT/audit_results/cora_strict_20260526/vit_2023/0055__pgd_2_3_16__pgd_2_3_16_5030.log"
56,"onnx/pgd_2_3_16.onnx","vnnlib/pgd_2_3_16_8341.vnnlib",100,100,0.52,"unknown","/data1/Kane/ACT/audit_results/cora_strict_20260526/vit_2023/0056__pgd_2_3_16__pgd_2_3_16_8341.result","/data1/Kane/ACT/audit_results/cora_strict_20260526/vit_2023/0056__pgd_2_3_16__pgd_2_3_16_8341.log"
57,"onnx/pgd_2_3_16.onnx","vnnlib/pgd_2_3_16_9835.vnnlib",100,100,0.49,"unknown","/data1/Kane/ACT/audit_results/cora_strict_20260526/vit_2023/0057__pgd_2_3_16__pgd_2_3_16_9835.result","/data1/Kane/ACT/audit_results/cora_strict_20260526/vit_2023/0057__pgd_2_3_16__pgd_2_3_16_9835.log"
58,"onnx/pgd_2_3_16.onnx","vnnlib/pgd_2_3_16_8907.vnnlib",100,100,0.36,"unknown","/data1/Kane/ACT/audit_results/cora_strict_20260526/vit_2023/0058__pgd_2_3_16__pgd_2_3_16_8907.result","/data1/Kane/ACT/audit_results/cora_strict_20260526/vit_2023/0058__pgd_2_3_16__pgd_2_3_16_8907.log"
59,"onnx/pgd_2_3_16.onnx","vnnlib/pgd_2_3_16_6427.vnnlib",100,100,0.34,"unknown","/data1/Kane/ACT/audit_results/cora_strict_20260526/vit_2023/0059__pgd_2_3_16__pgd_2_3_16_6427.result","/data1/Kane/ACT/audit_results/cora_strict_20260526/vit_2023/0059__pgd_2_3_16__pgd_2_3_16_6427.log"
60,"onnx/pgd_2_3_16.onnx","vnnlib/pgd_2_3_16_5528.vnnlib",100,100,0.33,"unknown","/data1/Kane/ACT/audit_results/cora_strict_20260526/vit_2023/0060__pgd_2_3_16__pgd_2_3_16_5528.result","/data1/Kane/ACT/audit_results/cora_strict_20260526/vit_2023/0060__pgd_2_3_16__pgd_2_3_16_5528.log"
61,"onnx/pgd_2_3_16.onnx","vnnlib/pgd_2_3_16_6628.vnnlib",100,100,0.36,"unknown","/data1/Kane/ACT/audit_results/cora_strict_20260526/vit_2023/0061__pgd_2_3_16__pgd_2_3_16_6628.result","/data1/Kane/ACT/audit_results/cora_strict_20260526/vit_2023/0061__pgd_2_3_16__pgd_2_3_16_6628.log"
62,"onnx/pgd_2_3_16.onnx","vnnlib/pgd_2_3_16_7403.vnnlib",100,100,0.34,"unknown","/data1/Kane/ACT/audit_results/cora_strict_20260526/vit_2023/0062__pgd_2_3_16__pgd_2_3_16_7403.result","/data1/Kane/ACT/audit_results/cora_strict_20260526/vit_2023/0062__pgd_2_3_16__pgd_2_3_16_7403.log"
