idx,onnx,vnnlib,csv_timeout,used_timeout,wall_sec,verdict,result_file,log_file
23,"onnx/patch-1.onnx","vnnlib/spec_onnx_patch-1_idx_16845_1.vnnlib",350,350,1.18,"unknown","/data1/Kane/ACT/audit_results/cora_truestrict_20260527/cctsdb_yolo_2023/0023__patch-1__spec_onnx_patch-1_idx_16845_1.result","/data1/Kane/ACT/audit_results/cora_truestrict_20260527/cctsdb_yolo_2023/0023__patch-1__spec_onnx_patch-1_idx_16845_1.log"
24,"onnx/patch-1.onnx","vnnlib/spec_onnx_patch-1_idx_00206_0.vnnlib",350,350,0.97,"unknown","/data1/Kane/ACT/audit_results/cora_truestrict_20260527/cctsdb_yolo_2023/0024__patch-1__spec_onnx_patch-1_idx_00206_0.result","/data1/Kane/ACT/audit_results/cora_truestrict_20260527/cctsdb_yolo_2023/0024__patch-1__spec_onnx_patch-1_idx_00206_0.log"
25,"onnx/patch-3.onnx","vnnlib/spec_onnx_patch-3_idx_08544_0.vnnlib",350,350,1.15,"unknown","/data1/Kane/ACT/audit_results/cora_truestrict_20260527/cctsdb_yolo_2023/0025__patch-3__spec_onnx_patch-3_idx_08544_0.result","/data1/Kane/ACT/audit_results/cora_truestrict_20260527/cctsdb_yolo_2023/0025__patch-3__spec_onnx_patch-3_idx_08544_0.log"
26,"onnx/patch-1.onnx","vnnlib/spec_onnx_patch-1_idx_04746_0.vnnlib",350,350,1.06,"unknown","/data1/Kane/ACT/audit_results/cora_truestrict_20260527/cctsdb_yolo_2023/0026__patch-1__spec_onnx_patch-1_idx_04746_0.result","/data1/Kane/ACT/audit_results/cora_truestrict_20260527/cctsdb_yolo_2023/0026__patch-1__spec_onnx_patch-1_idx_04746_0.log"
27,"onnx/patch-3.onnx","vnnlib/spec_onnx_patch-3_idx_03372_1.vnnlib",350,350,1.01,"unknown","/data1/Kane/ACT/audit_results/cora_truestrict_20260527/cctsdb_yolo_2023/0027__patch-3__spec_onnx_patch-3_idx_03372_1.result","/data1/Kane/ACT/audit_results/cora_truestrict_20260527/cctsdb_yolo_2023/0027__patch-3__spec_onnx_patch-3_idx_03372_1.log"
28,"onnx/patch-3.onnx","vnnlib/spec_onnx_patch-3_idx_01366_0.vnnlib",350,350,1.03,"unknown","/data1/Kane/ACT/audit_results/cora_truestrict_20260527/cctsdb_yolo_2023/0028__patch-3__spec_onnx_patch-3_idx_01366_0.result","/data1/Kane/ACT/audit_results/cora_truestrict_20260527/cctsdb_yolo_2023/0028__patch-3__spec_onnx_patch-3_idx_01366_0.log"
29,"onnx/patch-3.onnx","vnnlib/spec_onnx_patch-3_idx_02945_0.vnnlib",350,350,0.96,"unknown","/data1/Kane/ACT/audit_results/cora_truestrict_20260527/cctsdb_yolo_2023/0029__patch-3__spec_onnx_patch-3_idx_02945_0.result","/data1/Kane/ACT/audit_results/cora_truestrict_20260527/cctsdb_yolo_2023/0029__patch-3__spec_onnx_patch-3_idx_02945_0.log"
30,"onnx/patch-1.onnx","vnnlib/spec_onnx_patch-1_idx_02827_0.vnnlib",350,350,1.07,"unknown","/data1/Kane/ACT/audit_results/cora_truestrict_20260527/cctsdb_yolo_2023/0030__patch-1__spec_onnx_patch-1_idx_02827_0.result","/data1/Kane/ACT/audit_results/cora_truestrict_20260527/cctsdb_yolo_2023/0030__patch-1__spec_onnx_patch-1_idx_02827_0.log"
31,"onnx/patch-3.onnx","vnnlib/spec_onnx_patch-3_idx_00055_0.vnnlib",350,350,1.06,"unknown","/data1/Kane/ACT/audit_results/cora_truestrict_20260527/cctsdb_yolo_2023/0031__patch-3__spec_onnx_patch-3_idx_00055_0.result","/data1/Kane/ACT/audit_results/cora_truestrict_20260527/cctsdb_yolo_2023/0031__patch-3__spec_onnx_patch-3_idx_00055_0.log"
32,"onnx/patch-1.onnx","vnnlib/spec_onnx_patch-1_idx_15842_2.vnnlib",350,350,1.60,"unknown","/data1/Kane/ACT/audit_results/cora_truestrict_20260527/cctsdb_yolo_2023/0032__patch-1__spec_onnx_patch-1_idx_15842_2.result","/data1/Kane/ACT/audit_results/cora_truestrict_20260527/cctsdb_yolo_2023/0032__patch-1__spec_onnx_patch-1_idx_15842_2.log"
33,"onnx/patch-1.onnx","vnnlib/spec_onnx_patch-1_idx_01613_0.vnnlib",350,350,1.58,"unknown","/data1/Kane/ACT/audit_results/cora_truestrict_20260527/cctsdb_yolo_2023/0033__patch-1__spec_onnx_patch-1_idx_01613_0.result","/data1/Kane/ACT/audit_results/cora_truestrict_20260527/cctsdb_yolo_2023/0033__patch-1__spec_onnx_patch-1_idx_01613_0.log"
34,"onnx/patch-3.onnx","vnnlib/spec_onnx_patch-3_idx_03746_1.vnnlib",350,350,1.43,"unknown","/data1/Kane/ACT/audit_results/cora_truestrict_20260527/cctsdb_yolo_2023/0034__patch-3__spec_onnx_patch-3_idx_03746_1.result","/data1/Kane/ACT/audit_results/cora_truestrict_20260527/cctsdb_yolo_2023/0034__patch-3__spec_onnx_patch-3_idx_03746_1.log"
35,"onnx/patch-3.onnx","vnnlib/spec_onnx_patch-3_idx_06844_2.vnnlib",350,350,0.93,"unknown","/data1/Kane/ACT/audit_results/cora_truestrict_20260527/cctsdb_yolo_2023/0035__patch-3__spec_onnx_patch-3_idx_06844_2.result","/data1/Kane/ACT/audit_results/cora_truestrict_20260527/cctsdb_yolo_2023/0035__patch-3__spec_onnx_patch-3_idx_06844_2.log"
36,"onnx/patch-1.onnx","vnnlib/spec_onnx_patch-1_idx_01045_0.vnnlib",350,350,1.27,"unknown","/data1/Kane/ACT/audit_results/cora_truestrict_20260527/cctsdb_yolo_2023/0036__patch-1__spec_onnx_patch-1_idx_01045_0.result","/data1/Kane/ACT/audit_results/cora_truestrict_20260527/cctsdb_yolo_2023/0036__patch-1__spec_onnx_patch-1_idx_01045_0.log"
37,"onnx/patch-3.onnx","vnnlib/spec_onnx_patch-3_idx_13330_0.vnnlib",350,350,0.86,"unknown","/data1/Kane/ACT/audit_results/cora_truestrict_20260527/cctsdb_yolo_2023/0037__patch-3__spec_onnx_patch-3_idx_13330_0.result","/data1/Kane/ACT/audit_results/cora_truestrict_20260527/cctsdb_yolo_2023/0037__patch-3__spec_onnx_patch-3_idx_13330_0.log"
38,"onnx/patch-3.onnx","vnnlib/spec_onnx_patch-3_idx_00559_0.vnnlib",350,350,0.84,"unknown","/data1/Kane/ACT/audit_results/cora_truestrict_20260527/cctsdb_yolo_2023/0038__patch-3__spec_onnx_patch-3_idx_00559_0.result","/data1/Kane/ACT/audit_results/cora_truestrict_20260527/cctsdb_yolo_2023/0038__patch-3__spec_onnx_patch-3_idx_00559_0.log"
39,"onnx/patch-3.onnx","vnnlib/spec_onnx_patch-3_idx_16384_0.vnnlib",350,350,0.97,"unknown","/data1/Kane/ACT/audit_results/cora_truestrict_20260527/cctsdb_yolo_2023/0039__patch-3__spec_onnx_patch-3_idx_16384_0.result","/data1/Kane/ACT/audit_results/cora_truestrict_20260527/cctsdb_yolo_2023/0039__patch-3__spec_onnx_patch-3_idx_16384_0.log"
