idx,onnx,vnnlib,csv_timeout,used_timeout,wall_sec,verdict,result_file,log_file
95,"./onnx/svhn-trades.onnx","vnnlib/svhn-img349.vnnlib",30,30,6.52,"unknown","/data1/Kane/ACT/audit_results/cora_truestrict_20260527/cora_2024/0095__svhn-trades__svhn-img349.result","/data1/Kane/ACT/audit_results/cora_truestrict_20260527/cora_2024/0095__svhn-trades__svhn-img349.log"
96,"./onnx/svhn-set.onnx","vnnlib/svhn-img349.vnnlib",30,30,6.60,"unknown","/data1/Kane/ACT/audit_results/cora_truestrict_20260527/cora_2024/0096__svhn-set__svhn-img349.result","/data1/Kane/ACT/audit_results/cora_truestrict_20260527/cora_2024/0096__svhn-set__svhn-img349.log"
97,"./onnx/svhn-point.onnx","vnnlib/svhn-img530.vnnlib",30,30,6.63,"unknown","/data1/Kane/ACT/audit_results/cora_truestrict_20260527/cora_2024/0097__svhn-point__svhn-img530.result","/data1/Kane/ACT/audit_results/cora_truestrict_20260527/cora_2024/0097__svhn-point__svhn-img530.log"
98,"./onnx/svhn-trades.onnx","vnnlib/svhn-img530.vnnlib",30,30,6.03,"unknown","/data1/Kane/ACT/audit_results/cora_truestrict_20260527/cora_2024/0098__svhn-trades__svhn-img530.result","/data1/Kane/ACT/audit_results/cora_truestrict_20260527/cora_2024/0098__svhn-trades__svhn-img530.log"
99,"./onnx/svhn-set.onnx","vnnlib/svhn-img530.vnnlib",30,30,5.38,"unknown","/data1/Kane/ACT/audit_results/cora_truestrict_20260527/cora_2024/0099__svhn-set__svhn-img530.result","/data1/Kane/ACT/audit_results/cora_truestrict_20260527/cora_2024/0099__svhn-set__svhn-img530.log"
100,"./onnx/svhn-point.onnx","vnnlib/svhn-img601.vnnlib",30,30,6.48,"unknown","/data1/Kane/ACT/audit_results/cora_truestrict_20260527/cora_2024/0100__svhn-point__svhn-img601.result","/data1/Kane/ACT/audit_results/cora_truestrict_20260527/cora_2024/0100__svhn-point__svhn-img601.log"
101,"./onnx/svhn-trades.onnx","vnnlib/svhn-img601.vnnlib",30,30,5.82,"unknown","/data1/Kane/ACT/audit_results/cora_truestrict_20260527/cora_2024/0101__svhn-trades__svhn-img601.result","/data1/Kane/ACT/audit_results/cora_truestrict_20260527/cora_2024/0101__svhn-trades__svhn-img601.log"
102,"./onnx/svhn-set.onnx","vnnlib/svhn-img601.vnnlib",30,30,6.53,"unknown","/data1/Kane/ACT/audit_results/cora_truestrict_20260527/cora_2024/0102__svhn-set__svhn-img601.result","/data1/Kane/ACT/audit_results/cora_truestrict_20260527/cora_2024/0102__svhn-set__svhn-img601.log"
103,"./onnx/svhn-point.onnx","vnnlib/svhn-img637.vnnlib",30,30,6.76,"unknown","/data1/Kane/ACT/audit_results/cora_truestrict_20260527/cora_2024/0103__svhn-point__svhn-img637.result","/data1/Kane/ACT/audit_results/cora_truestrict_20260527/cora_2024/0103__svhn-point__svhn-img637.log"
104,"./onnx/svhn-trades.onnx","vnnlib/svhn-img637.vnnlib",30,30,7.88,"unknown","/data1/Kane/ACT/audit_results/cora_truestrict_20260527/cora_2024/0104__svhn-trades__svhn-img637.result","/data1/Kane/ACT/audit_results/cora_truestrict_20260527/cora_2024/0104__svhn-trades__svhn-img637.log"
