idx,onnx,vnnlib,csv_timeout,used_timeout,wall_sec,verdict,result_file,log_file
31,"onnx/NN_rul_full_window_20.onnx","vnnlib/robustness_8perturbations_delta5_epsilon10_w20.vnnlib",120,120,3.38,"unknown","/data1/Kane/ACT/audit_results/cora_strict_20260526/collins_rul_cnn_2022/0031__NN_rul_full_window_20__robustness_8perturbations_delta5_epsilon10_w20.result","/data1/Kane/ACT/audit_results/cora_strict_20260526/collins_rul_cnn_2022/0031__NN_rul_full_window_20__robustness_8perturbations_delta5_epsilon10_w20.log"
32,"onnx/NN_rul_full_window_20.onnx","vnnlib/robustness_8perturbations_delta10_epsilon10_w20.vnnlib",300,300,3.26,"unknown","/data1/Kane/ACT/audit_results/cora_strict_20260526/collins_rul_cnn_2022/0032__NN_rul_full_window_20__robustness_8perturbations_delta10_epsilon10_w20.result","/data1/Kane/ACT/audit_results/cora_strict_20260526/collins_rul_cnn_2022/0032__NN_rul_full_window_20__robustness_8perturbations_delta10_epsilon10_w20.log"
33,"onnx/NN_rul_full_window_20.onnx","vnnlib/robustness_8perturbations_delta20_epsilon10_w20.vnnlib",300,300,3.37,"unknown","/data1/Kane/ACT/audit_results/cora_strict_20260526/collins_rul_cnn_2022/0033__NN_rul_full_window_20__robustness_8perturbations_delta20_epsilon10_w20.result","/data1/Kane/ACT/audit_results/cora_strict_20260526/collins_rul_cnn_2022/0033__NN_rul_full_window_20__robustness_8perturbations_delta20_epsilon10_w20.log"
34,"onnx/NN_rul_full_window_20.onnx","vnnlib/robustness_8perturbations_delta40_epsilon10_w20.vnnlib",300,300,3.29,"unknown","/data1/Kane/ACT/audit_results/cora_strict_20260526/collins_rul_cnn_2022/0034__NN_rul_full_window_20__robustness_8perturbations_delta40_epsilon10_w20.result","/data1/Kane/ACT/audit_results/cora_strict_20260526/collins_rul_cnn_2022/0034__NN_rul_full_window_20__robustness_8perturbations_delta40_epsilon10_w20.log"
35,"onnx/NN_rul_full_window_20.onnx","vnnlib/robustness_16perturbations_delta5_epsilon10_w20.vnnlib",300,300,3.47,"unknown","/data1/Kane/ACT/audit_results/cora_strict_20260526/collins_rul_cnn_2022/0035__NN_rul_full_window_20__robustness_16perturbations_delta5_epsilon10_w20.result","/data1/Kane/ACT/audit_results/cora_strict_20260526/collins_rul_cnn_2022/0035__NN_rul_full_window_20__robustness_16perturbations_delta5_epsilon10_w20.log"
36,"onnx/NN_rul_full_window_20.onnx","vnnlib/robustness_16perturbations_delta10_epsilon10_w20.vnnlib",300,300,3.60,"unknown","/data1/Kane/ACT/audit_results/cora_strict_20260526/collins_rul_cnn_2022/0036__NN_rul_full_window_20__robustness_16perturbations_delta10_epsilon10_w20.result","/data1/Kane/ACT/audit_results/cora_strict_20260526/collins_rul_cnn_2022/0036__NN_rul_full_window_20__robustness_16perturbations_delta10_epsilon10_w20.log"
37,"onnx/NN_rul_full_window_20.onnx","vnnlib/robustness_16perturbations_delta20_epsilon10_w20.vnnlib",300,300,2.81,"unknown","/data1/Kane/ACT/audit_results/cora_strict_20260526/collins_rul_cnn_2022/0037__NN_rul_full_window_20__robustness_16perturbations_delta20_epsilon10_w20.result","/data1/Kane/ACT/audit_results/cora_strict_20260526/collins_rul_cnn_2022/0037__NN_rul_full_window_20__robustness_16perturbations_delta20_epsilon10_w20.log"
38,"onnx/NN_rul_full_window_20.onnx","vnnlib/robustness_16perturbations_delta40_epsilon10_w20.vnnlib",300,300,3.37,"unknown","/data1/Kane/ACT/audit_results/cora_strict_20260526/collins_rul_cnn_2022/0038__NN_rul_full_window_20__robustness_16perturbations_delta40_epsilon10_w20.result","/data1/Kane/ACT/audit_results/cora_strict_20260526/collins_rul_cnn_2022/0038__NN_rul_full_window_20__robustness_16perturbations_delta40_epsilon10_w20.log"
39,"onnx/NN_rul_full_window_20.onnx","vnnlib/monotonicity_CI_shift5_w20.vnnlib",60,60,3.78,"unknown","/data1/Kane/ACT/audit_results/cora_strict_20260526/collins_rul_cnn_2022/0039__NN_rul_full_window_20__monotonicity_CI_shift5_w20.result","/data1/Kane/ACT/audit_results/cora_strict_20260526/collins_rul_cnn_2022/0039__NN_rul_full_window_20__monotonicity_CI_shift5_w20.log"
40,"onnx/NN_rul_full_window_20.onnx","vnnlib/monotonicity_CI_shift10_w20.vnnlib",180,180,3.00,"unknown","/data1/Kane/ACT/audit_results/cora_strict_20260526/collins_rul_cnn_2022/0040__NN_rul_full_window_20__monotonicity_CI_shift10_w20.result","/data1/Kane/ACT/audit_results/cora_strict_20260526/collins_rul_cnn_2022/0040__NN_rul_full_window_20__monotonicity_CI_shift10_w20.log"
41,"onnx/NN_rul_full_window_20.onnx","vnnlib/monotonicity_CI_shift20_w20.vnnlib",360,360,3.80,"unknown","/data1/Kane/ACT/audit_results/cora_strict_20260526/collins_rul_cnn_2022/0041__NN_rul_full_window_20__monotonicity_CI_shift20_w20.result","/data1/Kane/ACT/audit_results/cora_strict_20260526/collins_rul_cnn_2022/0041__NN_rul_full_window_20__monotonicity_CI_shift20_w20.log"
42,"onnx/NN_rul_full_window_20.onnx","vnnlib/if_then_7levels_w20.vnnlib",1800,1800,3.62,"sat","/data1/Kane/ACT/audit_results/cora_strict_20260526/collins_rul_cnn_2022/0042__NN_rul_full_window_20__if_then_7levels_w20.result","/data1/Kane/ACT/audit_results/cora_strict_20260526/collins_rul_cnn_2022/0042__NN_rul_full_window_20__if_then_7levels_w20.log"
43,"onnx/NN_rul_full_window_20.onnx","vnnlib/if_then_9levels_w20.vnnlib",1800,1800,3.49,"sat","/data1/Kane/ACT/audit_results/cora_strict_20260526/collins_rul_cnn_2022/0043__NN_rul_full_window_20__if_then_9levels_w20.result","/data1/Kane/ACT/audit_results/cora_strict_20260526/collins_rul_cnn_2022/0043__NN_rul_full_window_20__if_then_9levels_w20.log"
44,"onnx/NN_rul_full_window_40.onnx","vnnlib/robustness_2perturbations_delta5_epsilon10_w40.vnnlib",60,60,3.09,"unknown","/data1/Kane/ACT/audit_results/cora_strict_20260526/collins_rul_cnn_2022/0044__NN_rul_full_window_40__robustness_2perturbations_delta5_epsilon10_w40.result","/data1/Kane/ACT/audit_results/cora_strict_20260526/collins_rul_cnn_2022/0044__NN_rul_full_window_40__robustness_2perturbations_delta5_epsilon10_w40.log"
45,"onnx/NN_rul_full_window_40.onnx","vnnlib/robustness_2perturbations_delta10_epsilon10_w40.vnnlib",90,90,3.56,"unknown","/data1/Kane/ACT/audit_results/cora_strict_20260526/collins_rul_cnn_2022/0045__NN_rul_full_window_40__robustness_2perturbations_delta10_epsilon10_w40.result","/data1/Kane/ACT/audit_results/cora_strict_20260526/collins_rul_cnn_2022/0045__NN_rul_full_window_40__robustness_2perturbations_delta10_epsilon10_w40.log"
46,"onnx/NN_rul_full_window_40.onnx","vnnlib/robustness_2perturbations_delta20_epsilon10_w40.vnnlib",120,120,3.08,"unknown","/data1/Kane/ACT/audit_results/cora_strict_20260526/collins_rul_cnn_2022/0046__NN_rul_full_window_40__robustness_2perturbations_delta20_epsilon10_w40.result","/data1/Kane/ACT/audit_results/cora_strict_20260526/collins_rul_cnn_2022/0046__NN_rul_full_window_40__robustness_2perturbations_delta20_epsilon10_w40.log"
47,"onnx/NN_rul_full_window_40.onnx","vnnlib/robustness_2perturbations_delta40_epsilon10_w40.vnnlib",300,300,3.35,"unknown","/data1/Kane/ACT/audit_results/cora_strict_20260526/collins_rul_cnn_2022/0047__NN_rul_full_window_40__robustness_2perturbations_delta40_epsilon10_w40.result","/data1/Kane/ACT/audit_results/cora_strict_20260526/collins_rul_cnn_2022/0047__NN_rul_full_window_40__robustness_2perturbations_delta40_epsilon10_w40.log"
48,"onnx/NN_rul_full_window_40.onnx","vnnlib/robustness_4perturbations_delta5_epsilon10_w40.vnnlib",120,120,3.61,"unknown","/data1/Kane/ACT/audit_results/cora_strict_20260526/collins_rul_cnn_2022/0048__NN_rul_full_window_40__robustness_4perturbations_delta5_epsilon10_w40.result","/data1/Kane/ACT/audit_results/cora_strict_20260526/collins_rul_cnn_2022/0048__NN_rul_full_window_40__robustness_4perturbations_delta5_epsilon10_w40.log"
