idx,onnx,vnnlib,csv_timeout,used_timeout,wall_sec,verdict,exit_code,result_file,log_file
136,"onnx/ACASXU_run2a_1_1_batch_2000.onnx","vnnlib/prop_4.vnnlib",116,116,4.08,unsat,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/acasxu_2023/0136__ACASXU_run2a_1_1_batch_2000__prop_4.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/acasxu_2023/0136__ACASXU_run2a_1_1_batch_2000__prop_4.log"
137,"onnx/ACASXU_run2a_1_2_batch_2000.onnx","vnnlib/prop_4.vnnlib",116,116,4.90,unsat,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/acasxu_2023/0137__ACASXU_run2a_1_2_batch_2000__prop_4.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/acasxu_2023/0137__ACASXU_run2a_1_2_batch_2000__prop_4.log"
138,"onnx/ACASXU_run2a_1_3_batch_2000.onnx","vnnlib/prop_4.vnnlib",116,116,4.98,unsat,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/acasxu_2023/0138__ACASXU_run2a_1_3_batch_2000__prop_4.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/acasxu_2023/0138__ACASXU_run2a_1_3_batch_2000__prop_4.log"
139,"onnx/ACASXU_run2a_1_4_batch_2000.onnx","vnnlib/prop_4.vnnlib",116,116,4.75,unsat,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/acasxu_2023/0139__ACASXU_run2a_1_4_batch_2000__prop_4.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/acasxu_2023/0139__ACASXU_run2a_1_4_batch_2000__prop_4.log"
140,"onnx/ACASXU_run2a_1_5_batch_2000.onnx","vnnlib/prop_4.vnnlib",116,116,4.78,unsat,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/acasxu_2023/0140__ACASXU_run2a_1_5_batch_2000__prop_4.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/acasxu_2023/0140__ACASXU_run2a_1_5_batch_2000__prop_4.log"
141,"onnx/ACASXU_run2a_1_6_batch_2000.onnx","vnnlib/prop_4.vnnlib",116,116,4.46,unsat,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/acasxu_2023/0141__ACASXU_run2a_1_6_batch_2000__prop_4.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/acasxu_2023/0141__ACASXU_run2a_1_6_batch_2000__prop_4.log"
142,"onnx/ACASXU_run2a_1_7_batch_2000.onnx","vnnlib/prop_4.vnnlib",116,116,120.98,timeout,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/acasxu_2023/0142__ACASXU_run2a_1_7_batch_2000__prop_4.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/acasxu_2023/0142__ACASXU_run2a_1_7_batch_2000__prop_4.log"
143,"onnx/ACASXU_run2a_1_8_batch_2000.onnx","vnnlib/prop_4.vnnlib",116,116,120.95,timeout,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/acasxu_2023/0143__ACASXU_run2a_1_8_batch_2000__prop_4.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/acasxu_2023/0143__ACASXU_run2a_1_8_batch_2000__prop_4.log"
144,"onnx/ACASXU_run2a_1_9_batch_2000.onnx","vnnlib/prop_4.vnnlib",116,116,120.72,timeout,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/acasxu_2023/0144__ACASXU_run2a_1_9_batch_2000__prop_4.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/acasxu_2023/0144__ACASXU_run2a_1_9_batch_2000__prop_4.log"
145,"onnx/ACASXU_run2a_2_1_batch_2000.onnx","vnnlib/prop_4.vnnlib",116,116,4.07,unsat,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/acasxu_2023/0145__ACASXU_run2a_2_1_batch_2000__prop_4.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/acasxu_2023/0145__ACASXU_run2a_2_1_batch_2000__prop_4.log"
146,"onnx/ACASXU_run2a_2_2_batch_2000.onnx","vnnlib/prop_4.vnnlib",116,116,4.09,unsat,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/acasxu_2023/0146__ACASXU_run2a_2_2_batch_2000__prop_4.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/acasxu_2023/0146__ACASXU_run2a_2_2_batch_2000__prop_4.log"
147,"onnx/ACASXU_run2a_2_3_batch_2000.onnx","vnnlib/prop_4.vnnlib",116,116,4.19,unsat,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/acasxu_2023/0147__ACASXU_run2a_2_3_batch_2000__prop_4.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/acasxu_2023/0147__ACASXU_run2a_2_3_batch_2000__prop_4.log"
148,"onnx/ACASXU_run2a_2_4_batch_2000.onnx","vnnlib/prop_4.vnnlib",116,116,4.09,unsat,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/acasxu_2023/0148__ACASXU_run2a_2_4_batch_2000__prop_4.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/acasxu_2023/0148__ACASXU_run2a_2_4_batch_2000__prop_4.log"
149,"onnx/ACASXU_run2a_2_5_batch_2000.onnx","vnnlib/prop_4.vnnlib",116,116,4.00,unsat,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/acasxu_2023/0149__ACASXU_run2a_2_5_batch_2000__prop_4.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/acasxu_2023/0149__ACASXU_run2a_2_5_batch_2000__prop_4.log"
150,"onnx/ACASXU_run2a_2_6_batch_2000.onnx","vnnlib/prop_4.vnnlib",116,116,4.06,unsat,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/acasxu_2023/0150__ACASXU_run2a_2_6_batch_2000__prop_4.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/acasxu_2023/0150__ACASXU_run2a_2_6_batch_2000__prop_4.log"
151,"onnx/ACASXU_run2a_2_7_batch_2000.onnx","vnnlib/prop_4.vnnlib",116,116,4.05,unsat,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/acasxu_2023/0151__ACASXU_run2a_2_7_batch_2000__prop_4.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/acasxu_2023/0151__ACASXU_run2a_2_7_batch_2000__prop_4.log"
152,"onnx/ACASXU_run2a_2_8_batch_2000.onnx","vnnlib/prop_4.vnnlib",116,116,4.27,unsat,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/acasxu_2023/0152__ACASXU_run2a_2_8_batch_2000__prop_4.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/acasxu_2023/0152__ACASXU_run2a_2_8_batch_2000__prop_4.log"
153,"onnx/ACASXU_run2a_2_9_batch_2000.onnx","vnnlib/prop_4.vnnlib",116,116,4.04,unsat,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/acasxu_2023/0153__ACASXU_run2a_2_9_batch_2000__prop_4.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/acasxu_2023/0153__ACASXU_run2a_2_9_batch_2000__prop_4.log"
154,"onnx/ACASXU_run2a_3_1_batch_2000.onnx","vnnlib/prop_4.vnnlib",116,116,4.09,unsat,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/acasxu_2023/0154__ACASXU_run2a_3_1_batch_2000__prop_4.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/acasxu_2023/0154__ACASXU_run2a_3_1_batch_2000__prop_4.log"
155,"onnx/ACASXU_run2a_3_2_batch_2000.onnx","vnnlib/prop_4.vnnlib",116,116,4.05,unsat,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/acasxu_2023/0155__ACASXU_run2a_3_2_batch_2000__prop_4.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/acasxu_2023/0155__ACASXU_run2a_3_2_batch_2000__prop_4.log"
156,"onnx/ACASXU_run2a_3_3_batch_2000.onnx","vnnlib/prop_4.vnnlib",116,116,3.85,unsat,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/acasxu_2023/0156__ACASXU_run2a_3_3_batch_2000__prop_4.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/acasxu_2023/0156__ACASXU_run2a_3_3_batch_2000__prop_4.log"
