Fri May 29 09:45:45 AM AEST 2026
=== HYB_Z parallel GPU-mid stream  gate>=25GB ===
    [gate-mid] cora_2024: 94 GB free >= 25 GB, proceeding
=== 09:45:45  [mid] bench=cora_2024  workers=1  gpu=0 ===
  [108/180]   60.7s  ./onnx/svhn-set.onnx  vnnlib/svhn-img692.vnnlib
  [109/180]   60.6s  ./onnx/svhn-point.onnx  vnnlib/svhn-img718.vnnlib
  [110/180]   60.6s  ./onnx/svhn-trades.onnx  vnnlib/svhn-img718.vnnlib
  [111/180]   60.6s  ./onnx/svhn-set.onnx  vnnlib/svhn-img718.vnnlib
  [112/180]   60.6s  ./onnx/svhn-point.onnx  vnnlib/svhn-img735.vnnlib
  [113/180]   60.7s  ./onnx/svhn-trades.onnx  vnnlib/svhn-img735.vnnlib
  [114/180]   60.6s  ./onnx/svhn-set.onnx  vnnlib/svhn-img735.vnnlib
  [115/180]   60.6s  ./onnx/svhn-point.onnx  vnnlib/svhn-img745.vnnlib
  [116/180]   60.6s  ./onnx/svhn-trades.onnx  vnnlib/svhn-img745.vnnlib
  [117/180]   60.6s  ./onnx/svhn-set.onnx  vnnlib/svhn-img745.vnnlib
  [118/180]   60.6s  ./onnx/svhn-point.onnx  vnnlib/svhn-img760.vnnlib
  [119/180]   60.6s  ./onnx/svhn-trades.onnx  vnnlib/svhn-img760.vnnlib
  [120/180]   60.6s  ./onnx/svhn-set.onnx  vnnlib/svhn-img760.vnnlib
  [121/180]   60.6s  ./onnx/cifar10-point.onnx  vnnlib/cifar10-img66.vnnlib
  [122/180]   60.7s  ./onnx/cifar10-trades.onnx  vnnlib/cifar10-img66.vnnlib
  [123/180]   60.6s  ./onnx/cifar10-set.onnx  vnnlib/cifar10-img66.vnnlib
  [124/180]   60.7s  ./onnx/cifar10-point.onnx  vnnlib/cifar10-img77.vnnlib
  [125/180]   60.7s  ./onnx/cifar10-trades.onnx  vnnlib/cifar10-img77.vnnlib
  [126/180]   60.6s  ./onnx/cifar10-set.onnx  vnnlib/cifar10-img77.vnnlib
  [127/180]   60.6s  ./onnx/cifar10-point.onnx  vnnlib/cifar10-img96.vnnlib
  [128/180]   60.6s  ./onnx/cifar10-trades.onnx  vnnlib/cifar10-img96.vnnlib
  [129/180]   60.5s  ./onnx/cifar10-set.onnx  vnnlib/cifar10-img96.vnnlib
  [130/180]   60.7s  ./onnx/cifar10-point.onnx  vnnlib/cifar10-img100.vnnlib
  [131/180]   60.8s  ./onnx/cifar10-trades.onnx  vnnlib/cifar10-img100.vnnlib
  [132/180]   60.5s  ./onnx/cifar10-set.onnx  vnnlib/cifar10-img100.vnnlib
  [133/180]   60.7s  ./onnx/cifar10-point.onnx  vnnlib/cifar10-img126.vnnlib
  [134/180]   60.7s  ./onnx/cifar10-trades.onnx  vnnlib/cifar10-img126.vnnlib
  [135/180]   60.4s  ./onnx/cifar10-set.onnx  vnnlib/cifar10-img126.vnnlib
  [136/180]   60.7s  ./onnx/cifar10-point.onnx  vnnlib/cifar10-img135.vnnlib
  [137/180]   60.7s  ./onnx/cifar10-trades.onnx  vnnlib/cifar10-img135.vnnlib
  [138/180]   60.5s  ./onnx/cifar10-set.onnx  vnnlib/cifar10-img135.vnnlib
  [139/180]   60.6s  ./onnx/cifar10-point.onnx  vnnlib/cifar10-img160.vnnlib
  [140/180]   60.7s  ./onnx/cifar10-trades.onnx  vnnlib/cifar10-img160.vnnlib
  [141/180]   42.3s  ./onnx/cifar10-set.onnx  vnnlib/cifar10-img160.vnnlib
  [142/180]   60.6s  ./onnx/cifar10-point.onnx  vnnlib/cifar10-img166.vnnlib
  [143/180]    3.9s  ./onnx/cifar10-trades.onnx  vnnlib/cifar10-img166.vnnlib
  [144/180]   60.6s  ./onnx/cifar10-set.onnx  vnnlib/cifar10-img166.vnnlib
  [145/180]   60.7s  ./onnx/cifar10-point.onnx  vnnlib/cifar10-img206.vnnlib
  [146/180]   60.7s  ./onnx/cifar10-trades.onnx  vnnlib/cifar10-img206.vnnlib
